Row	geneNames	Mean_Ref	Mean__Csrc	Log2_FC	pVal	adjPVal
CIC11T00000005687	RBR3_12	1435.0658961069	765.964167395225	-0.905768176789219	7.8991136338096e-06	2.26740376902726e-05
CIC11T00000000809	vpr	51.6329218544115	79.1875308079028	0.616982034482977	0.0114821632612169	0.0204668139071381
CIC11T00000004607	YWP1	132.832438193846	995.800086495608	2.90624863931268	9.61985879545332e-30	1.49380071484115e-28
CIC11T00000002535	bglI	3.17920536838554	419.25014924241	7.0430012732995	7.11871448813304e-65	3.20397766922925e-63
CIC11T00000000412	ABCF3	28.5819010333992	17909.9034184859	9.29143996622926	0	0
CIC11T00000000620	blr3397	127.350089020676	73.1427973819605	-0.800012258667299	0.000768754692127677	0.00166684071559938
CIC11T00000000661	THI72_2	97.520877053293	112.623029399119	0.20771885697037	0.31145486041098	0.386284488875707
CIC11T00000005411	SPCC777.02_2	43.7026835545247	67.1747635432701	0.620197467081584	0.0152614941498985	0.0264584615701369
CIC11T00000000047	augustus_masked-chr1-processed-gene-0.53	172.728934211093	367.992342222282	1.09116597247945	4.22430996400399e-06	1.26106882754783e-05
CIC11T00000001894	MCA1	99.8707849685516	133.394069442141	0.417559911556533	0.0704287149020536	0.105551463722875
CIC11T00000001162	SPS19	9.2436251351369	175.669723408497	4.24826300064566	4.55778821104111e-32	7.72276996582584e-31
CIC11T00000003504	pi041	189.838277228447	183.255726226489	-0.0509126340991649	0.908721349159718	0.934680180772922
CIC11T00000005610	YPS1_7	1175.10252469247	430.583847976228	-1.44842052635511	1.59978945785674e-16	1.37353011426418e-15
CIC11T00000000205	YPS1	2.15566115896763	6.47921519185385	1.58768865072143	0.0114788450890935	0.0204668139071381
CIC11T00000001844	YPS1_4	261.366330860476	556.676221310148	1.09076515359361	2.08403542138404e-07	7.31634860608986e-07
CIC11T00000005044	NIK1	342.170456881982	926.732872983671	1.43743834533547	5.28159114691065e-10	2.56337376557306e-09
CIC11T00000002857	POL3	257.723637428469	337.418022304658	0.388712171731595	0.0493536121075929	0.0765758576223654
CIC11T00000004383	UGA4_3	90.371879242977	85.2648535925274	-0.0839227420096503	0.83765857815338	0.874230266076381
CIC11T00000002901	NUT1	19.1509006472589	16.24111807522	-0.237761287892785	0.566998270817422	0.639107227192167
CIC11T00000004264	augustus_masked-chr1-processed-gene-1.43	48.4693116557318	87.9876151272479	0.86022887461655	0.000658958625705194	0.00144509350692334
CIC11T00000001809	PEX14	80.3322227578989	287.836093766041	1.8411968120406	1.47088011145489e-15	1.17202494081489e-14
CIC11T00000002467	PGUG_2	54.6409766672771	52.871115711463	-0.0475034994935166	0.943195084133237	0.964114066659258
CIC11T00000000192	CDC43	12.8566092553797	13.2394617759843	0.0423342705423884	0.917906894808544	0.942445485829981
CIC11T00000000901	LYS5	33.3174893422671	89.9452140539775	1.43276682861734	1.0952760008022e-07	4.03703457493378e-07
CIC11T00000002053	CDR1	1988.09588241392	12519.4263368517	2.65470921447534	1.84438519321916e-39	4.11841205354093e-38
CIC11T00000004133	RPA135	3082.46188142915	1428.95511062419	-1.10912245783316	3.76555903875064e-10	1.85572161011484e-09
CIC11T00000001677	THG1	33.104680767165	27.2218865133871	-0.282268167290549	0.401491305868505	0.478229643458285
CIC11T00000002527	rhp7	80.6058365307957	72.2517693400016	-0.157851388082179	0.571688873479479	0.643136028142019
CIC11T00000005760	prp39_2	127.41652202315	98.9383553665804	-0.364950539951396	0.141358210707586	0.194359105462149
CIC11T00000001089	SNU71	95.6865131350128	90.0898337764817	-0.0869512796998592	0.810587710024358	0.853718688419383
CIC11T00000005455	MSB2	3781.90556880419	3125.71541677499	-0.274926907772376	0.136601802025938	0.188946694230835
CIC11T00000000248	augustus_masked-chr1-processed-gene-1.51	9.77486909982308	9.13101622897998	-0.0983019499869628	0.903583894363824	0.930891776722102
CIC11T00000002530	snap_masked-chr1-processed-gene-1.95	737.99732365031	1374.64138523458	0.89736780973252	1.71961216924101e-05	4.70850081131058e-05
CIC11T00000002345	MRPL31	217.678935016583	72.773873287407	-1.58070930011935	1.07000164560238e-12	6.69302875169958e-12
CIC11T00000000347	SPC24	6.61420255008009	5.27411436426136	-0.326638371546743	0.635479063404114	0.701211681465908
CIC11T00000001554	CMC1	34.9089226788292	20.4569742954857	-0.771003056751252	0.00985930782788948	0.017777612643653
CIC11T00000000482	augustus_masked-chr1-processed-gene-1.70	3.57163780728062	6.0759399049199	0.766521813670017	0.215322213737645	0.281031099533886
CIC11T00000001499	augustus_masked-chr1-processed-gene-1.54	19.3475882402617	60.1242674108202	1.63579367088927	1.04408721664459e-07	3.85823377491306e-07
CIC11T00000002558	sdh3	1120.50303468416	1383.95510248361	0.304650584470584	0.0785522597794689	0.116154920069179
CIC11T00000003805	PIB2	336.355761601353	428.896280297217	0.350640832913691	0.0683115383487929	0.102725860722369
CIC11T00000003541	STT3	1627.45879817119	1033.14403757368	-0.655579615561979	0.000267926570897869	0.000622640167383068
CIC11T00000005851	YGL010w	12.1151012942887	340.616702222842	4.81327080733635	4.60543047895005e-52	1.51610771367036e-50
CIC11T00000000990	IME4	2.90613512069472	2.02550278391738	-0.520821714694437	0.609489013989915	0.677155582067838
CIC11T00000000312	SLA1	910.424018554059	1282.21528146412	0.494027983958874	0.0111670371188954	0.0199483103385911
